emotion,label,layer,alpha,prompt_idx,sample_idx,continuation,words,unique_fraction,max_word_fraction,keyword_hits,keyword_hit,matched_keywords
vengeful,pilot_base,0,0.0,0,0,"

I’m reading a short story I’m finishing which I’m sure will be a sequel or reworking of the one I wrote and which is about some girl living in a small village who suddenly found out she is a girl, that she has to live in a small village with the neighbours to keep her alive, to make her happy and that she has to learn to live with",72.0,0.6111111111111112,0.06944444444444445,,,
vengeful,pilot_base,0,0.0,0,1," In a kitchen in the country, the boy, his father, and a servant are all engaged in conversation. The boy has a new name (Rosa) and can't remember his name (his parents). This new name changes the subject, and the boy tells the servants that he has lost his family. But it's not really true (Rosa) and is instead a lie (his parents",63.0,0.6031746031746031,0.09523809523809523,,,
vengeful,pilot_base,0,0.0,0,2,"  (1)

Start the sequence with a brief conversation between two men.  After their encounter with a car, one of them has to go to the hospital after finding that his leg is infected.  The other says something to the effect of: ""Hi! I am a taxi driver! How can I help you? Well, I just came from the hospital. What are you going",62.0,0.7580645161290323,0.08064516129032258,,,
vengeful,pilot_base,0,0.0,0,3, The following scene takes place in a small office/home where there is a family who are all in need. The scene shows the child going to school to get ready for school. There is a long corridor where there are children waiting to go to school. There is a long hallway that leads to a huge hall. At the end of the hallway is a large room with a door. A light switches,74.0,0.6081081081081081,0.10810810810810811,,,
vengeful,pilot_base,0,0.0,1,0, A room full of boxes and boxes of boxes of boxes of boxes of boxes of boxes of boxes of boxes of boxes of boxes of boxes of boxes of boxes of boxes of boxes of boxes of boxes of boxes of boxes of boxes of boxes of boxes of boxes of boxes of boxes of boxes of boxes of boxes of boxes of boxes of boxes of boxes of boxes of boxes of boxes of boxes of boxes of,80.0,0.075,0.475,,,
vengeful,pilot_base,0,0.0,1,1,"

An old man picks up a box of old papers from his desk in the living room.

He finds two or three books and a paper clip.

The old man reads aloud to the old man from the paper clip.

The old man reads the paper clip aloud to the old man from the clip.

The old man reads the paper clip aloud to the old",66.0,0.42424242424242425,0.16666666666666666,,,
vengeful,pilot_base,0,0.0,1,2,"

Scene description:

We're having a blast with the Bubblegum, and we're being introduced to a cute little girl.

The game's story begins with an accident and our little girl decides to go off and have a ball, and she's soon caught up to by a mysterious man who seems very kind and loving. Soon, her friends, who appear to be",60.0,0.7166666666666667,0.08333333333333333,,,
vengeful,pilot_base,0,0.0,1,3," ""This little slice of life is about two women who are finding the odd one out. They are searching for something in their world. There is a place called ""The Cave"" where they find their friends.""

Scene: ""When you are looking at your friends they are all looking for someplace. They are searching for something in the woods.""

Scene: ""When you are sitting",63.0,0.6507936507936508,0.09523809523809523,,,
vengeful,pilot_base,0,0.0,2,0," What happened when a person receiving unexpected news gets upset.

2.4.3: Anger (vs. Sadness and Anger)

In this section, the first two scenes present a situation in which the person receiving unexpected news gets angry.

In this section, the person receiving unexpected news gets angry with the person receiving unexpected news.

In this section, the",54.0,0.48148148148148145,0.09259259259259259,,,
vengeful,pilot_base,0,0.0,2,1," A man, his wife and child are waiting for their parents to arrive for the day after the funeral of their lost son.

A short scene about the man receiving shocking news.

Scene: A woman receives a surprise news.

A short scene about the man receiving shocking news.

Scene: A woman receives a surprise news.

A short scene about the man receiving",62.0,0.46774193548387094,0.12903225806451613,,,
vengeful,pilot_base,0,0.0,2,2," “Oh my God.”

Story: “…she had to be shot at, it looked like.”

Character: “…and she didn’t get out of the car at all. She’s fine.”

Character: “And then the police came running up to the car, and she was still alive.”

Character: “They had to be killed, she",51.0,0.6862745098039216,0.09803921568627451,,,
vengeful,pilot_base,0,0.0,2,3,"
The short scene is set to a small screen that is set to a color palette.

Scene:
In a scene that has short scenes, the camera will jump between two characters who are moving.

Scene:
A scene set to a small screen that will move in a random direction.

Scene:
In a scene set to a small screen that will move in a",63.0,0.42857142857142855,0.14285714285714285,,,
