generated_by,prompt_idx,sample_idx,prompt,continuation
base_seed1,0,0,"Write a short neutral news brief about a recent local development.

Brief:","

Briefing for the city council:

The council's executive committee is scheduled to meet later today for an executive meeting to consider the city's long-term development plan."
base_seed1,0,1,"Write a short neutral news brief about a recent local development.

Brief:"," The U.S. House of Representatives has adopted a resolution to reaffirm its support for the U.S. Constitution. This is a bipartisan document introduced by four U.S. Senators and four Representatives.

Brief: The U.S. Justice Department is seeking a temporary ban on all online gambling on video or similar media that is not expressly sanctioned by the Federal Government. This action could affect an estimated 3.6 million U."
base_seed1,0,2,"Write a short neutral news brief about a recent local development.

Brief:","

Saying that the district has lost three residents, the police and fire department have been put on hold, while the fire brigade is still searching for survivors.

Brief:

""The Fire Brigade has been instructed to continue the search in the case of the missing persons as the investigation into the incident continues, including investigating what may have caused the incident, the fire and the police,"" Chief Charles Hines said.

B"
base_seed1,0,3,"Write a short neutral news brief about a recent local development.

Brief:"," ""Vote for John Doe 2.7."" (click for larger view)

It's an email. It's short. It's clean. It's about the same format as an email, but it's formatted in the best way possible. It's about the right way. It's about a well-rounded story. It's about a good story. And it's not about a well-rounded story.

It's not"
base_seed1,0,4,"Write a short neutral news brief about a recent local development.

Brief:"," The new building at the corner of the intersection of Blythe and Diversey, just off the southbound lanes of the Blythe Expressway, opened May 26, 2012. It’s located in the center of the city, with plenty of street parking. There are also no parking spaces around the front door of the building.

The only other place to get a look at the new building is the new Blythe L"
base_seed1,0,5,"Write a short neutral news brief about a recent local development.

Brief:","

Cities are coming up with ways to help their homeless population grow and stay independent.

At a recent meeting of the local board of directors, the Mayor announced his hope to move to a ""public housing"" model, where the homeless would be housed and fed and not forced to live on the streets.

""I don't think we should take a stand and refuse housing to homeless,"" he said. ""I think that's"
base_seed1,0,6,"Write a short neutral news brief about a recent local development.

Brief:"," Why did the new airport come into being?

A: The airport was going to be a major tourist attraction, and was the ideal location for the construction of the new airport. The airport was at the confluence of the Moynihan and the Bay bridges, and was in the heart of downtown San Diego. This was ideal for a major airport, since there would be tremendous traffic coming from the Bay Bridge, and also from the surrounding neighborhoods"
base_seed1,0,7,"Write a short neutral news brief about a recent local development.

Brief:","

“Today is the first day of the 2016 school year. This is where we should be celebrating.”- Rocco (Rocco is a student from the school in our district that I worked with when I was in school-teacher training)

I was sitting on the other side of the table that I had set up in front of the students. I had been sitting there since the beginning of the semester but for the past couple"
base_seed1,0,8,"Write a short neutral news brief about a recent local development.

Brief:","

The new police and fire department in Albuquerque's Wickenburg neighborhood was built in the late 1990s.

Brief:

A small group of conservationists, concerned about the state of the national wildlife and people, wants to protect more than 5,000 bald eagles and other species from the endangered population.

Brief:

The state is considering granting a $3 million dollar grant to help"
base_seed1,0,9,"Write a short neutral news brief about a recent local development.

Brief:"," A local developer has developed a citywide plan for a city-owned housing project for the homeless in the city of Santa Barbara. The project includes a community center, storage facility, and other community services. For the homeless, this project will create a new community center, as well as the development of an apartment complex. The project will be funded by the city and county."
base_seed1,1,0,"Write a short neutral news brief about a public announcement.

Brief:"," ""The Public Removes from the World's Most Popular Website.""

To the left of the headline is a link to a video clip. In the video, a web developer is talking about a page titled ""The Public Removes from the World's Most Popular Website.""

The page has been around for about a year. It's a bit long and riddled with references to ""The Public Removes from the World's Most Popular"
base_seed1,1,1,"Write a short neutral news brief about a public announcement.

Brief:"," ""Nazis' Ghetto Shrinking""

The following was an article about an ad campaign for a new anti-racist youth movement in NYC. As with the previous ad campaign, the young people who marched for the group were greeted by police and other counter-protesters, who harassed them and threw them into cars. The news was spread over a wide area, though the media did not always understand the situation,"
base_seed1,1,2,"Write a short neutral news brief about a public announcement.

Brief:"," The government’s announcement to phase out carbon-based fuels by 2040 would create a lot of work for a lot of people. As you can imagine, that leaves a lot of people who have to work to fuel their cars, and it also means a lot of people who are not interested in driving cars.

I’m not sure that the people who might feel that way are the same people who will be affected by this change."
base_seed1,1,3,"Write a short neutral news brief about a public announcement.

Brief:","

A brief story about a public announcement that was made.

Informative:

A story that is worth reading.

Taken from:

Public announcements were the subjects of some of the media’s most informative stories of the past decade, including the two-time Emmy winner and New York Times best-selling book series about life-changing news and The New Yorker’s best-selling book series about"
base_seed1,1,4,"Write a short neutral news brief about a public announcement.

Brief:"," This is a video of my last trip to Disney World and the Walt Disney World and Magic Kingdom. I was one of the lucky few with a very short time to take in both the theme park and the theme park resort, with my sister and the boys being my family. I was visiting Walt Disney World and Magic Kingdom and we got to go in the water rides. We enjoyed the water rides, the water slides and the water play areas. The"
base_seed1,1,5,"Write a short neutral news brief about a public announcement.

Brief:","

The first step is to understand the public announcement, in its general form. The public announcement, which can be written in any order, can be presented to a public audience.

Brief:

The audience will understand that the announcement is one that should be taken seriously. A public announcement is of interest to all members of the public, and it is the purpose of a public announcement to have a clear and authoritative title. The"
base_seed1,1,6,"Write a short neutral news brief about a public announcement.

Brief:","

This article was published in the official press of the State of Washington."
base_seed1,1,7,"Write a short neutral news brief about a public announcement.

Brief:"," On January 13, 2019, the House voted to pass the Federal Service Accountability and Transparency Act (H.R. 4517), to allow the Department of Veterans Affairs and the Department of Defense (DoD) to jointly audit their finances to improve internal controls and to ensure the proper reporting of the information and expenditures of Federal agencies.

Brief: The Bureau of Alcohol, Tobacco, Firearms and Explosives (ATF)"
base_seed1,1,8,"Write a short neutral news brief about a public announcement.

Brief:","

This is one of our weekly letters for the new year. We want to hear from you about a public announcement you are working on. Send us an email with some of your thoughts and we’ll answer it.

Please include your name, hometown, state, city and email address."
base_seed1,1,9,"Write a short neutral news brief about a public announcement.

Brief:"," The National Security Agency is about to break the internet’s back. The agency has plans to launch a new generation of encrypted communications, as well as to let people into encrypted homes and workstations.

Brief: The federal government is about to spend $2 billion building new government wiretap centers in five states, but it will lose billions of dollars because of the ongoing fight over the NSA’s data sharing programs."
base_seed1,2,0,"Write a short neutral news brief about a group making a decision.

Brief:","

1. Make a statement about a group's decision to take a certain action.

2. Add a brief summary.

Brief:

1. Have the group's action taken and why.

2. State the purpose of the group's action.

Brief:

1. Define ""action.""

2. State the reason for taking the action.

Brief:

"
base_seed1,2,1,"Write a short neutral news brief about a group making a decision.

Brief:"," ""A vote has been called on the Senate, but is likely to be rescheduled for the first vote of the year. The Senate majority leader, Mitch McConnell, is expected to announce on Tuesday that the Senate is back to normal for the first time in years. [...] A final vote is likely on Monday afternoon, with debate continuing the same day on Wednesday.""

Short: ""After months of rumors and innuendo, the Senate Republicans"
base_seed1,2,2,"Write a short neutral news brief about a group making a decision.

Brief:"," The purpose of the brief is to let the reader think through and decide whether or not to take the risk of making the decision.

What does this mean in terms of what to read?

Here are a few of the many things you need to read about if you are thinking of taking the risk of writing about a blog about the decision to leave a business.

First, you need to decide whether or not you want to take"
base_seed1,2,3,"Write a short neutral news brief about a group making a decision.

Brief:","

The group will make a decision on the direction of an organization or organization group.

Use a variety of words to describe the decision.

A group has made a decision on the direction of an organization or group.

The decision is made in accordance with a set of steps or objectives.

A decision has been made regarding a group or organization.

The decision is based on a group or organization’s objectives"
base_seed1,2,4,"Write a short neutral news brief about a group making a decision.

Brief:"," This is your first time to a meeting with a board member of a group making a decision.

Briefer: This is your second time to a meeting with a member of a group making a decision.

Brief: This is your third time to a meeting with a member of a group making a decision.

Briefer: This is your fourth time to a meeting with a member of a group making a decision."
base_seed1,2,5,"Write a short neutral news brief about a group making a decision.

Brief:"," A brief, often shorter, review of what's going on on the national level with respect to the president's re-election campaign.

(You can find the list of news stories in this column at the bottom of this page.)

As I've noted several times, the coverage of the election has often been very short and meandering. It's not only frustrating, it's dangerous.

While all this is going on,"
base_seed1,2,6,"Write a short neutral news brief about a group making a decision.

Brief:","

It’s not a great idea to try and keep a secret. (Or even a secret.) But here’s an idea that you could consider for the purpose of getting the facts straight: You know what’s happening at the time when you’re sending the brief. What do you think about all of this?

Sending a brief:

People are saying that the release of a short brief might be a great"
base_seed1,2,7,"Write a short neutral news brief about a group making a decision.

Brief:"," A short (~5-5,5 seconds) news summary, explaining how the news piece is about, or has a different purpose than, the original article.

Brief: A brief (~3-3.5 seconds) news summary, explaining how the news piece is about, or has a different purpose than, the original article.

Brief: A brief (~2-2.5 seconds) news summary,"
base_seed1,2,8,"Write a short neutral news brief about a group making a decision.

Brief:"," The New York Times has issued a short news summary of a U.S. congressional hearing on immigration reform.

Brief: The U.S. Chamber of Commerce has issued a brief discussion of the House of Representatives’ legislative work on immigration reform.

Brief: The San Francisco Chronicle has published a news brief.

Brief: The Seattle Times has published a news briefing of the U.S. House of Representatives’"
base_seed1,2,9,"Write a short neutral news brief about a group making a decision.

Brief:"," I had a chance to read a great discussion about the rise and fall of “the anti-pipeline” movement that took place during an interview with the New York Times. There was an interviewer who mentioned that I was an environmentalist as well as a writer for the paper.

The question was, did that make you a better writer or an environmentalist?

Pete: No.

Q: What did the interview"
base_seed1,3,0,"Write a short neutral news brief about an event that happened today.

Brief:"," As we’re wrapping up this year’s legislative session, let’s start off the year with a nice little roundup.

As a reminder, the Senate recently passed a bill that rewrites the state’s constitution to make sure it’s made clear that the government can’t interfere with a marriage. We’re also in the process of making the governor’s office the lead agency in the Department of Labor and"
base_seed1,3,1,"Write a short neutral news brief about an event that happened today.

Brief:","

A man was shot yesterday outside of a downtown Denver bar. Police said the victim had been stabbed during an altercation at the bar, where a group of men were shouting about the recent election results.

Brief:

A man was shot yesterday outside of a downtown Denver bar. Police said the victim had been stabbed during an altercation at the bar, where a group of men were shouting about the recent election results.
"
base_seed1,3,2,"Write a short neutral news brief about an event that happened today.

Brief:"," This event was when, in October 2010, the U.S. government and major U.S. institutions began an effort to establish a ""democratic"" national health system through the establishment of the U.S. Centers for Disease Control and Prevention.

Brief: The U.S. government was at the forefront of many of the ideas and efforts that led to the establishment of the U.S. Centers for Disease Control and Prevention"
base_seed1,3,3,"Write a short neutral news brief about an event that happened today.

Brief:"," An event that happened today.

Natalie: An event that happened today.

Michele: An event that happened today.

Brief: An event that happened today.

The event that happened today at the local Starbucks was a special treat for me, because I can only imagine what the event could be like tomorrow.

Brief: An event that happened today.

Natalie: An"
base_seed1,3,4,"Write a short neutral news brief about an event that happened today.

Brief:"," Why did the White House fire its chief domestic security adviser?

The answer, as I’ve tried to explain it here before, is that a former White House official, the former deputy director of the Office of Political Security and a former deputy to the White House chief of staff, had become deeply unpopular in his role. He was a hard-charging attorney who had taken the White House on at least two previous occasions, was highly respected"
base_seed1,3,5,"Write a short neutral news brief about an event that happened today.

Brief:"," What you saw is it was a real event! It was real life and it got real people talking about the news of the day.

Summary: This little summary is going to make your day. You’ll have to read the whole thing before you’re done.

The only real thing to watch for this week is the first presidential debate."
base_seed1,3,6,"Write a short neutral news brief about an event that happened today.

Brief:","

This happened, in the form of a ""shout out"" to all those in the room who had no idea what the
news was that day.

Brief:

You need to know what happened yesterday.

Brief:

I've got this.

Brief:

I know, I know.

Brief:

I think it is important to let the readers and"
base_seed1,3,7,"Write a short neutral news brief about an event that happened today.

Brief:"," ""There were three people in the room that night. The woman was from Canada and was from the United States. The guy had a very small room in his apartment, and he had a knife. He came in and attacked him, cut him and threw him out the window. He was very, very scared, and then he came out and left.""

Brief: ""That’s what happened.""

Brief: ""This"
base_seed1,3,8,"Write a short neutral news brief about an event that happened today.

Brief:"," The first U.S. military casualty in Afghanistan, General Stanley McChrystal, was killed on Friday when a suicide bomber blew up his vehicle at a checkpoint on his way to join the Afghan army. General McChrystal had been part of the group of U.S. military advisers and specialists who are fighting the Taliban in that country. A former lieutenant, McChrystal was the second top U.S. general to die in Afghanistan"
base_seed1,3,9,"Write a short neutral news brief about an event that happened today.

Brief:"," An event that happened today

What do you think of this summary?

This is not a summary of the event, it is about the event that happened today. It's not a 'we had a terrible crash' summary. It's a summary about what happened today.

I think you need to spend a bit more time on your research, research your audience, research your audience, your audience, and your audience. I think"
base_seed1,4,0,"Write a short neutral news brief about a change people are discussing.

Brief:","

A person or thing that you know to be true.

Briefs are usually brief news stories or short news articles that are related to the subject matter.

Briefs are typically used in news stories to convey the idea that something is about to happen rather than just a summary. The news brief is used to make people aware of a change in the news. They may discuss the news report, discuss the news story itself"
base_seed1,4,1,"Write a short neutral news brief about a change people are discussing.

Brief:"," What is your political or social or religious outlook on things?

Ted: I have no idea. I don't see myself as an atheist, but I don't think I'd necessarily be opposed to religion. If I were, then I'd probably be more inclined to think religion is good for people, but I'd probably be more reluctant to advocate it.

Brief: What kinds of things are you aware of that seem to"
base_seed1,4,2,"Write a short neutral news brief about a change people are discussing.

Brief:"," a short neutral news brief about a change people are discussing.

A brief for a conference about an interesting event or a business idea.

Brief for a meeting that people are planning to have with a business partner.

Brief for a meeting that people are planning to have with a business partner.

Brief for a meeting that people are planning to have with a business partner.

Brief for a meeting that"
base_seed1,4,3,"Write a short neutral news brief about a change people are discussing.

Brief:","

In 2012, the U.S. government will increase the percentage of the population that owns a gun by half. This will give the government a chance to track the guns most commonly used in self-defense. We can look to California for examples of guns being used in self-defense. Since the passage of the Brady law, a majority of people who own guns are using them for self-defense.

How It Works:
"
base_seed1,4,4,"Write a short neutral news brief about a change people are discussing.

Brief:","

The media has changed. A lot.

Brief is short, so the headlines are long. If you like the headlines, go to the sidebar.

Brief:

Avoid the usual.

Brief:

Avoid the usual.

A new political movement needs new headlines, new tactics.

A new political movement needs a new headline, new tactics.

A new political"
base_seed1,4,5,"Write a short neutral news brief about a change people are discussing.

Brief:", A change is taking place in the world that will impact your life for a short period of time. It’s not a long term change and it’s not going to impact your life forever. The world has changed and we all know what happened to the people who were once poor. Some of us have been lucky enough to have a very successful life. Some of us have been blessed with riches. Some of us have been cursed with a negative
base_seed1,4,6,"Write a short neutral news brief about a change people are discussing.

Brief:"," “The government has a new plan to reduce our debt by 50 percent over the next two decades.”

Brief: “The government has a new plan to reduce our debt by 50 percent over the next two decades.”

Brief: “More than 90 percent of households are on government subsidies for fuel in 2013.”

Brief: “More than 90 percent of households are on government subsidies for fuel in 2013.”

B"
base_seed1,4,7,"Write a short neutral news brief about a change people are discussing.

Brief:","
In a change of focus, the United States will leave the Nuclear Free zone.

The US would have its own nuclear weapons, but it wouldn’t be a nuclear bomb. It would be more of a ‘bombe’-style weapon with a smaller payload.

This will bring a change to US military operations in Europe. The US would have its own nuclear weapons, but it wouldn’t be a nuclear bomb."
base_seed1,4,8,"Write a short neutral news brief about a change people are discussing.

Brief:"," You can also give people a brief overview of the major changes to the law
that will impact the economy and the future of healthcare. The idea is that
people will want to read this and find out what their options are after the
change that will happen in the next couple of years. This is something the
Federally Funded Campaign can assist with.

Tips: The tips are based on ideas that will be helpful to"
base_seed1,4,9,"Write a short neutral news brief about a change people are discussing.

Brief:"," If you have to get through an eight-year-old news cycle to get through a long one, you know what it means to be a journalist and writer who cares.

A lot of people don’t know that but it’s true. We don’t like to get too far into the news cycle and get so distracted that we miss what’s important. We’re trained to get caught up and fixate on what"
base_seed1,5,0,"Write a short neutral news brief about a new plan.

Brief:","

A long neutral news brief about a new plan.

Pace:

No more than 100 words, no more than one paragraph. The length must be clear and concise.

Language:

Punctuation may not exceed one line.

Example:

A short news brief about a new plan.

Briefs are typically written in the form of news articles, and are typically delivered in order"
base_seed1,5,1,"Write a short neutral news brief about a new plan.

Brief:","

The first week of the summer has been dominated by the death of the legendary actor Bruce Willis and his wife Linda Blair. The actor's death was confirmed earlier this week by his family, but it also came at a time when the couple's closest friends are facing financial challenges. ""A lot of people don't know about his death, but they do know that we both had to be at home,"" said the actor's sister, Michelle Davis"
base_seed1,5,2,"Write a short neutral news brief about a new plan.

Brief:","

A new plan

A new plan

In the US, the economy is undergoing a profound restructuring as globalization and automation continue to shake our economy and our workforce. This new plan will help to make the United States stronger, safer, and more productive at the same time.

Key Points:

The government should work with technology companies to ensure that these new technologies continue to improve our economy

The government should focus"
base_seed1,5,3,"Write a short neutral news brief about a new plan.

Brief:"," A short neutral news brief on how to create a good, vibrant network.

Brief: A few sentences of a short neutral news brief about a new plan.

Brief: A short neutral news brief about how to create a good, vibrant network.

Brief: A few sentences of a short neutral news brief about a new plan.

Brief: An informal summary of a short neutral news brief about a new"
